time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:04:49,robotiq_force_torque_frame_id,2.44,-1.76,-0.37,0.079,-0.144,-0.081
22:04:49,robotiq_force_torque_frame_id,3.17,-0.1,-0.56,0.079,-0.136,-0.042
22:04:49,robotiq_force_torque_frame_id,2.7,-0.85,-0.91,0.087,-0.143,-0.041
22:04:49,robotiq_force_torque_frame_id,2.89,-0.41,-0.28,0.074,-0.121,-0.032
22:04:49,robotiq_force_torque_frame_id,2.79,-0.54,-0.74,0.09,-0.118,-0.033
22:04:49,robotiq_force_torque_frame_id,3.26,0.42,-1.1,0.072,-0.142,-0.035
22:04:49,robotiq_force_torque_frame_id,3.01,-0.97,-0.91,0.081,-0.121,-0.044
22:04:49,robotiq_force_torque_frame_id,2.94,-1.16,-0.8,0.058,-0.129,-0.052
22:04:50,robotiq_force_torque_frame_id,2.54,0.45,-0.42,0.073,-0.139,-0.043
22:04:50,robotiq_force_torque_frame_id,2.67,-0.85,-0.78,0.096,-0.133,-0.034
22:04:50,robotiq_force_torque_frame_id,2.1,-1.34,-0.82,0.071,-0.134,-0.063
22:04:50,robotiq_force_torque_frame_id,1.48,-1.02,-1.04,0.071,-0.118,-0.058
22:04:50,robotiq_force_torque_frame_id,2.25,-0.7,-0.53,0.085,-0.148,-0.066
22:04:50,robotiq_force_torque_frame_id,3.13,-1.36,-0.76,0.08,-0.128,-0.051
22:04:50,robotiq_force_torque_frame_id,3.22,-0.84,-0.75,0.079,-0.126,-0.029
22:04:50,robotiq_force_torque_frame_id,3.21,-0.92,-0.8,0.059,-0.119,-0.042
22:04:50,robotiq_force_torque_frame_id,3.48,0.57,-0.94,0.103,-0.13,-0.019
22:04:50,robotiq_force_torque_frame_id,3.95,0.61,-1.06,0.079,-0.129,-0.006
22:04:51,robotiq_force_torque_frame_id,2.33,-1.29,-1.26,0.088,-0.123,-0.035
22:04:51,robotiq_force_torque_frame_id,3.47,-0.7,-0.59,0.079,-0.143,-0.007
22:04:51,robotiq_force_torque_frame_id,3.09,-2.06,-0.89,0.077,-0.128,-0.035
22:04:51,robotiq_force_torque_frame_id,2.53,-1.44,-0.75,0.074,-0.115,-0.044
22:04:51,robotiq_force_torque_frame_id,3.11,-1.36,-0.23,0.057,-0.118,-0.027
22:04:51,robotiq_force_torque_frame_id,3.32,-1.12,-0.86,0.066,-0.106,-0.013
22:04:51,robotiq_force_torque_frame_id,4.9,0.09,-0.89,0.08,-0.129,-0.056
22:04:51,robotiq_force_torque_frame_id,4.51,0.37,-1.19,0.07,-0.117,-0.045
22:04:51,robotiq_force_torque_frame_id,3.44,-1.24,-0.47,0.06,-0.119,-0.035
22:04:51,robotiq_force_torque_frame_id,3.03,0.0,-0.69,0.064,-0.127,-0.012
22:04:52,robotiq_force_torque_frame_id,5.05,-0.68,-1.22,0.087,-0.128,-0.033
